method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
deeplabv3_r101-d8_512x512_4x4_160k_coco_stuff164k, 20210709_155402.log.json, 41.82, 54.63, 10, 41.82, 54.63, 10
deeplabv3_r101-d8_512x512_4x4_320k_coco_stuff164k, 20210709_155402.log.json, 42.61, 55.24, 10, 42.61, 55.24, 10
deeplabv3_r101-d8_512x512_4x4_80k_coco_stuff164k, 20210709_201252.log.json, 40.87, 53.800000000000004, 10, 40.87, 53.800000000000004, 10
deeplabv3_r50-d8_512x512_4x4_160k_coco_stuff164k, 20210709_163016.log.json, 41.089999999999996, 53.37, 10, 41.089999999999996, 53.37, 10
deeplabv3_r50-d8_512x512_4x4_320k_coco_stuff164k, 20210709_155403.log.json, 41.370000000000005, 53.82, 10, 41.370000000000005, 53.82, 10
deeplabv3_r50-d8_512x512_4x4_80k_coco_stuff164k, 20210709_163016.log.json, 39.379999999999995, 51.76, 10, 39.379999999999995, 51.76, 10
pspnet_r101-d8_512x512_4x4_160k_coco_stuff164k, 20210707_152004.log.json, 41.28, 53.73, 10, 41.28, 53.73, 10
pspnet_r101-d8_512x512_4x4_320k_coco_stuff164k, 20210707_152004.log.json, 41.949999999999996, 54.42, 10, 41.949999999999996, 54.42, 10
pspnet_r101-d8_512x512_4x4_80k_coco_stuff164k, 20210707_152034.log.json, 40.339999999999996, 52.959999999999994, 10, 40.339999999999996, 52.959999999999994, 10
pspnet_r50-d8_512x512_4x4_160k_coco_stuff164k, 20210707_152004.log.json, 39.64, 51.78, 10, 39.64, 51.78, 10
pspnet_r50-d8_512x512_4x4_320k_coco_stuff164k, 20210707_152004.log.json, 40.53, 52.53, 10, 40.53, 52.53, 10
pspnet_r50-d8_512x512_4x4_80k_coco_stuff164k, 20210707_152034.log.json, 38.800000000000004, 51.07000000000001, 10, 38.800000000000004, 51.07000000000001, 10
